R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
148,124.9,Josh Hart,"SG,SF",NY,74,28,0.437 (3.1/7.0),0.757 (1.1/1.4),0.9,8.1,6.5,3.4,1.2,0.5,1.5,-0.65
149,104.5,Wendell Carter Jr.,C,ORL,50,27.9,0.524 (5.1/9.6),0.715 (2.1/3.0),1.1,13.3,8,1.9,0.5,0.6,1.7,-0.67
150,144.5,Matisse Thybulle,"SG,SF",POR,72,26,0.463 (2.5/5.3),0.738 (0.5/0.7),1.1,6.6,2.7,1.2,1.6,0.9,0.6,-0.68
151,149,Jevon Carter,"PG,SG",CHI,72,28.4,0.424 (3.7/8.6),0.831 (0.5/0.6),2.2,10,3.3,3.8,1,0.5,1.2,-0.68
152,132.1,Brandon Miller,SF,CHA,72,30,0.433 (5.4/12.6),0.836 (1.9/2.3),2.2,15,4.8,2,0.8,0.3,1.4,-0.71
153,143.4,Harrison Barnes,"SF,PF",SAC,78,31.3,0.471 (4.6/9.7),0.836 (4.1/4.9),1.6,14.9,4.8,1.5,0.7,0.1,1.2,-0.73
154,140.7,Alex Caruso,"PG,SG",CHI,64,25.1,0.428 (2.2/5.1),0.801 (1.1/1.4),0.9,6.3,3.2,3.3,1.6,0.6,1.3,-0.78
155,,Goga Bitadze,C,ORL,30,26.4,0.530 (4.1/7.7),0.639 (1.8/2.8),0.6,10.5,6.4,1.9,0.8,1.3,1.4,-0.79
156,,Drew Eubanks,C,PHO,70,20.4,0.618 (3.1/5.0),0.710 (1.3/1.8),0.1,7.6,5.7,1.3,0.5,1.4,1.1,-0.89
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
157,,Dorian Finney-Smith,"SF,PF,C",BKN,69,29.1,0.458 (3.9/8.6),0.744 (0.6/0.9),2.4,10.9,4.2,1.5,0.9,0.5,0.9,-0.93
158,135.7,Obi Toppin,PF,IND,70,27.3,0.483 (5.2/10.9),0.810 (1.6/2.0),1.4,13.5,5.1,1.5,0.6,0.5,1.1,-1.03
159,142.3,Xavier Tillman Sr.,"PF,C",MEM,68,28,0.486 (5.0/10.4),0.626 (1.4/2.2),0.2,11.6,6.8,2.3,1.4,0.6,1.1,-1.05
160,143.6,Luguentz Dort,"SG,SF",OKC,72,30,0.433 (4.7/10.9),0.803 (2.8/3.5),2,14.3,4.3,1.9,0.9,0.3,1.4,-1.08
161,53.4,Julius Randle,PF,NY,74,35.4,0.405 (7.1/17.5),0.710 (3.8/5.3),2,20,10,4.7,0.7,0.4,3.1,-1.1
162,128.4,Al Horford,"PF,C",BOS,58,24.1,0.471 (3.1/6.5),0.764 (0.6/0.7),1.1,7.8,5.7,2.6,0.5,0.9,0.6,-1.1
163,143.9,Caris LeVert,"SG,SF",CLE,67,30.6,0.447 (6.3/14.0),0.741 (2.1/2.8),1.6,16.2,3.8,4,0.9,0.4,1.7,-1.16
164,145.5,Malik Monk,"SG,SF",SAC,76,24,0.442 (4.8/10.9),0.856 (1.6/1.9),2,13.3,2.7,4,0.6,0.3,1.5,-1.21
165,142.2,Kelly Oubre Jr.,SF,PHI,28,25,0.458 (5.2/11.3),0.814 (2.6/3.2),1.9,14.8,3.2,0.9,1,0.3,0.9,-1.21
166,114.1,Gary Trent Jr.,"PG,SG",TOR,65,26,0.423 (4.9/11.6),0.847 (2.0/2.4),2.2,14,2.1,1.4,1.3,0.2,0.7,-1.21
167,,Malik Beasley,"SG,SF",MIL,72,29.1,0.419 (5.1/12.1),0.800 (0.7/0.9),3.4,14.3,3.7,1.7,0.8,0.2,1,-1.21
168,142.2,Santi Aldama,"PF,C",MEM,75,27.1,0.457 (4.2/9.1),0.725 (1.8/2.4),1.4,11.5,6.4,1.6,0.7,0.8,1.1,-1.24
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
169,47.5,Jordan Poole,"PG,SG",WAS,78,30.5,0.404 (6.1/15.0),0.791 (2.1/2.7),2.3,16.6,3.5,4.5,1,0.3,3.1,-1.31
170,,Isaiah Hartenstein,C,NY,76,19.9,0.584 (2.9/4.9),0.681 (1.0/1.4),0.2,6.9,6.1,1.9,0.7,1,1.1,-1.32
171,145.2,Jonathan Isaac,"SF,PF",ORL,30,21.9,0.428 (3.8/8.8),0.558 (0.9/1.5),1,9.4,7.5,1,1.5,0.7,0.7,-1.38
172,,Nicolas Batum,"SF,PF",PHI,37,24.2,0.478 (2.8/5.8),0.688 (0.4/0.6),1.8,7.7,4.2,1.7,0.9,0.6,0.7,-1.41
173,76.4,Jalen Green,"PG,SG",HOU,74,33.1,0.420 (6.8/16.3),0.789 (3.9/4.9),2.4,20,3.6,3.2,0.7,0.3,2.4,-1.41
174,,Jordan Hawkins,SG,NO,72,27.4,0.431 (3.9/9.0),0.838 (1.4/1.7),2.6,11.7,4,1.6,0.8,0.1,0.7,-1.45
175,136.9,Kevon Looney,"PF,C",GS,80,23.7,0.603 (3.0/4.9),0.603 (1.1/1.8),0,7,9,2.4,0.7,0.7,0.7,-1.48
176,,Killian Hayes,"PG,SG",DET,65,28.3,0.426 (4.2/10.0),0.806 (1.0/1.2),0.8,10.3,2.9,5,1.2,0.4,1.9,-1.5
177,,Jae Crowder,"SF,PF",MIL,67,23.2,0.443 (2.9/6.6),0.794 (0.9/1.1),1.6,8.3,4.4,1.6,1.1,0.4,0.7,-1.58
178,150,Quentin Grimes,"SG,SF",NY,70,29.1,0.450 (3.8/8.5),0.780 (0.9/1.2),2.3,10.9,3.3,2,0.8,0.4,1,-1.58
179,,Brandon Clarke,"PF,C",MEM,8,18.1,0.649 (4.1/6.2),0.689 (1.4/2.1),0.1,9.6,5.1,1.2,0.6,0.8,0.7,-1.58
180,140.1,Patrick Williams,PF,CHI,72,26.3,0.472 (3.5/7.5),0.849 (1.2/1.4),1.2,9.5,3.8,1.1,0.8,0.8,1.1,-1.59
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
181,,Skylar Mays,SG,POR,40,27.4,0.421 (5.3/12.7),0.855 (1.9/2.2),1.4,13.9,1.4,5.5,1.1,0,1.4,-1.63
182,144.7,Saddiq Bey,"SF,PF",ATL,78,27.5,0.420 (4.1/9.7),0.843 (2.3/2.7),2,12.4,4.4,1.9,0.8,0.2,0.9,-1.7
183,141.9,Jalen Suggs,"PG,SG",ORL,56,28.3,0.401 (4.3/10.6),0.751 (2.4/3.1),1.2,12.1,3.7,4,1.4,0.5,2.6,-1.7
184,,Nick Richards,C,CHA,70,21.1,0.638 (3.3/5.1),0.740 (2.1/2.9),0,8.7,6.4,0.7,0.3,1.2,1.1,-1.75
185,146,Corey Kispert,"SG,SF",WAS,74,28.3,0.493 (4.0/8.1),0.864 (1.0/1.1),2.3,11.2,3.1,1.3,0.5,0.2,0.8,-1.83
186,122.3,Shaedon Sharpe,"SG,SF",POR,78,32,0.445 (7.0/15.8),0.735 (1.9/2.6),2.1,18,4.3,1.7,0.7,0.4,1.5,-1.84
187,140.3,Isaiah Stewart,"PF,C",DET,70,28.1,0.447 (3.9/8.7),0.730 (1.6/2.2),1.4,10.8,8.2,1.3,0.4,0.7,1.4,-1.89
188,142,Norman Powell,"SG,SF",LAC,60,24.1,0.470 (4.8/10.1),0.811 (3.2/3.9),1.7,14.4,2.5,1.6,0.7,0.3,1.3,-1.89
189,,Luke Kennard,"PG,SG",MEM,64,24.8,0.465 (3.7/7.9),0.911 (0.8/0.9),2.5,10.7,3,1.8,0.6,0.1,0.8,-1.9
190,142,Max Strus,"SG,SF",CLE,73,30,0.423 (4.5/10.7),0.848 (1.0/1.1),2.7,12.7,3.6,2.1,0.6,0.2,1,-1.94
191,,Pat Connaughton,"SG,SF",MIL,64,28.7,0.432 (3.4/7.9),0.759 (0.6/0.8),2.2,9.7,4.8,1.4,0.8,0.2,0.6,-2.01
192,141.8,Kelly Olynyk,"PF,C",UTA,66,18.9,0.481 (3.0/6.2),0.828 (1.9/2.3),1.1,9,4.2,2.6,0.6,0.4,1.6,-2.03
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
193,,Gary Payton II,"PG,SG,SF",GS,70,17.7,0.613 (2.8/4.6),0.625 (0.5/0.7),0.6,6.7,3.5,1,1.3,0.3,0.6,-2.07
194,,Kris Dunn,PG,UTA,60,18,0.503 (3.2/6.4),0.818 (1.2/1.4),0.4,8,3,4.1,1,0.3,1.4,-2.11
195,,Jaime Jaquez Jr.,SF,MIA,70,24.4,0.482 (3.7/7.6),0.806 (1.3/1.6),0.8,9.4,3.9,2,1.1,0.2,1,-2.15
196,,Larry Nance Jr.,"PF,C",NO,65,21.2,0.571 (2.8/4.9),0.694 (0.8/1.2),0.3,6.8,5.3,1.8,0.9,0.5,0.7,-2.16
197,,Josh Green,"SG,SF",DAL,67,27.4,0.526 (3.6/6.9),0.736 (1.1/1.4),1.2,9.5,3.7,2,0.9,0.2,1.3,-2.18
198,,Reggie Jackson,PG,DEN,69,26.2,0.434 (4.8/11.0),0.867 (1.4/1.6),1.7,12.7,2.7,3.9,0.7,0.1,1.9,-2.18
199,141.8,Tim Hardaway Jr.,"SG,SF",DAL,69,28.4,0.423 (5.9/13.8),0.766 (1.7/2.2),2.7,16.1,3.3,1.8,0.7,0.2,0.8,-2.25
200,,Dru Smith,"PG,SG",MIA,40,18.1,0.500 (2.0/4.0),0.000 (0.0/0.0),1.3,5.3,1,2.7,1.3,0.3,0.7,-2.26
201,141.3,Terance Mann,"SG,SF",LAC,80,25.1,0.499 (3.8/7.6),0.780 (1.4/1.8),1.1,10.1,4.4,2.5,0.6,0.3,1,-2.29
202,143.7,Richaun Holmes,"PF,C",DAL,70,20.8,0.652 (3.5/5.3),0.780 (1.2/1.5),0.1,8.2,5.5,0.8,0.3,0.7,1,-2.3
203,,Maxi Kleber,"PF,C",DAL,60,25.6,0.456 (2.6/5.8),0.705 (0.8/1.1),1.3,7.4,5.3,1.3,0.5,1,0.8,-2.3
204,,Marcus Sasser,PG,DET,60,19.4,0.471 (3.8/8.0),0.815 (0.7/0.8),1.5,9.8,2,2.9,1,0.1,0.6,-2.36
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
205,,Patrick Beverley,PG,PHI,64,23.4,0.403 (2.3/5.8),0.720 (1.0/1.4),1.2,6.9,3.5,3.4,0.9,0.7,1,-2.36
206,,Lonnie Walker IV,"SG,SF",BKN,67,23.7,0.455 (5.0/10.9),0.815 (1.7/2.1),2,13.6,2.4,1.7,0.6,0.3,1,-2.36
207,,Royce O'Neale,"SG,SF",BKN,76,28.4,0.413 (3.4/8.2),0.768 (0.5/0.7),1.6,8.9,4.2,2.6,0.8,0.5,1.1,-2.38
208,142.5,Isaiah Jackson,"PF,C",IND,67,16.5,0.563 (3.1/5.5),0.663 (1.6/2.5),0.1,7.9,4.5,0.6,0.6,1.5,1,-2.39
209,141.1,Gabe Vincent,"PG,SG",LAL,70,27.7,0.409 (3.7/9.0),0.855 (0.9/1.1),2,10.3,2.3,3.2,1,0.1,1.6,-2.39
210,121.2,Bennedict Mathurin,"SG,SF",IND,74,30,0.434 (5.3/12.1),0.829 (4.8/5.8),1.3,16.6,4.1,1.5,0.6,0.2,1.9,-2.39
211,145.2,De'Andre Hunter,"SF,PF",ATL,68,31.4,0.453 (5.4/12.0),0.797 (2.6/3.2),1.5,14.9,3.9,1.4,0.6,0.3,1.3,-2.45
212,,Alec Burks,"PG,SG,SF",DET,64,22.2,0.429 (3.0/7.0),0.819 (2.2/2.7),1.9,10,3.3,2.1,0.7,0.2,0.9,-2.48
213,,Ayo Dosunmu,SG,CHI,76,26.6,0.495 (3.6/7.2),0.800 (0.9/1.1),0.8,8.8,2.8,3,0.8,0.4,1.3,-2.57
214,,Grayson Allen,"SG,SF",PHO,70,23.4,0.430 (3.0/7.0),0.884 (1.1/1.3),2,9.1,3,1.7,0.7,0.2,0.7,-2.68
215,109.3,Russell Westbrook,PG,LAC,74,29,0.441 (5.6/12.6),0.662 (2.7/4.1),1,14.8,5.7,6.3,0.9,0.3,3.1,-2.69
216,132.7,Kevin Porter Jr.,"PG,SG",HOU,30,20.8,0.432 (3.8/8.8),0.777 (1.7/2.2),1.6,10.9,3.1,3.7,0.8,0.2,2,-2.69
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
217,140,Amen Thompson,"SG,SF",HOU,70,26.2,0.451 (4.5/10.0),0.699 (2.7/3.9),0.5,12.2,3.7,4.4,1.1,0.5,2.1,-2.7
218,,Andrew Nembhard,"PG,SG",IND,72,26.2,0.440 (3.6/8.2),0.797 (0.6/0.8),1.2,9.1,2.5,4.4,0.9,0.2,1.6,-2.7
219,125.4,RJ Barrett,"SG,SF",NY,72,33.6,0.433 (6.9/16.0),0.750 (4.0/5.4),1.8,19.7,5.4,2.8,0.5,0.2,2.2,-2.72
220,,Jose Alvarado,PG,NO,67,20.4,0.424 (3.2/7.5),0.758 (1.0/1.3),1.1,8.5,2.3,3.3,1.3,0.2,1.2,-2.73
221,139.5,Eric Gordon,"SG,SF",PHO,60,26.5,0.460 (4.1/9.0),0.802 (1.8/2.3),1.9,11.9,1.8,2.5,0.5,0.3,1.6,-2.79
222,,Cody Martin,"SG,SF",CHA,65,23.2,0.467 (2.6/5.7),0.696 (1.0/1.4),0.8,7,3.7,2.3,1.1,0.4,0.8,-2.81
223,,Taurean Prince,"SF,PF",LAL,65,23.4,0.461 (3.5/7.6),0.795 (1.2/1.6),1.6,9.8,3,1.5,0.7,0.4,1.2,-2.81
224,,Gary Harris,"SG,SF",ORL,60,25.2,0.439 (3.3/7.5),0.881 (1.0/1.1),1.8,9.4,1.9,1.5,0.9,0.2,0.8,-2.85
225,,Charles Bassey,C,SA,60,13.8,0.642 (2.4/3.8),0.634 (0.6/1.0),0.1,5.5,5.3,1.1,0.4,1,1,-2.85
226,,Ziaire Williams,SF,MEM,60,30.1,0.443 (4.2/9.4),0.786 (0.9/1.2),1.5,10.8,4.2,1.5,0.8,0.3,1.2,-2.86
227,143.5,Keyonte George,SG,UTA,72,26,0.418 (4.9/11.6),0.809 (1.8/2.2),1.5,13,2.5,4.6,0.6,0.2,1.7,-2.91
228,,Bones Hyland,"PG,SG",LAC,67,18.7,0.401 (3.6/9.0),0.849 (1.5/1.8),2,10.7,2.6,2.9,0.6,0.3,1.3,-2.92
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
229,142.5,Chris Boucher,PF,TOR,72,18,0.478 (3.0/6.3),0.770 (1.6/2.0),0.7,8.3,5.2,0.3,0.5,0.8,0.5,-2.96
230,,Armoni Brooks,PG,BKN,40,8.5,0.857 (3.0/3.5),0.000 (0.0/0.0),2.5,8.5,1,0,0,0,0,-2.98
231,140.9,Mason Plumlee,C,LAC,75,23.4,0.664 (3.3/4.9),0.550 (1.6/3.0),0,8.2,7.8,2.9,0.7,0.6,1.3,-3.02
232,,Christian Braun,SG,DEN,76,25.2,0.495 (3.2/6.4),0.704 (1.0/1.4),0.9,8.2,4,1.3,0.9,0.4,0.8,-3.05
233,,Jordan Goodwin,PG,PHO,72,17.8,0.445 (2.6/5.8),0.770 (0.9/1.1),0.6,6.7,3.4,2.8,1,0.4,0.9,-3.12
234,137.4,Jaden Ivey,"PG,SG",DET,74,25.6,0.426 (4.7/10.9),0.765 (3.1/4.1),1.4,13.8,3.2,4.3,0.7,0.2,2.6,-3.13
235,,Julian Champagnie,"SF,PF",SA,68,17.4,0.453 (3.7/8.2),0.832 (0.9/1.1),2.1,10.4,3.8,0.6,0.4,0.3,0.7,-3.15
236,,Isaiah Joe,"PG,SG",OKC,70,20,0.433 (3.3/7.6),0.848 (1.1/1.3),2.3,10,2.3,1.2,0.6,0.1,0.6,-3.18
237,135.5,Kevin Love,"PF,C",MIA,62,17.7,0.415 (3.0/7.3),0.848 (1.5/1.8),1.8,9.3,5.7,1.7,0.3,0.2,1,-3.28
238,,Max Christie,"SG,SF",LAL,70,23.2,0.441 (2.6/6.0),0.871 (0.7/0.9),1.4,7.4,3.9,1.1,0.7,0.4,1,-3.3
239,137.5,Jonathan Kuminga,PF,GS,72,24.4,0.519 (4.5/8.6),0.671 (2.0/3.0),0.9,11.9,4.2,1.7,0.7,0.5,1.5,-3.3
240,,Bismack Biyombo,C,MEM,44,26.1,0.500 (3.0/6.0),0.675 (1.4/2.0),0,7.4,8,2,0.2,1,2,-3.33
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
241,144.4,Jarace Walker,PF,IND,70,26.5,0.457 (3.9/8.5),0.695 (1.7/2.5),0.9,10.4,6.7,1.1,0.4,0.8,1.4,-3.39
242,137.1,Rui Hachimura,"SF,PF",LAL,65,24.6,0.488 (4.9/10.0),0.723 (1.4/1.9),1.1,12.2,4.6,1.1,0.4,0.4,0.9,-3.39
243,147.2,Talen Horton-Tucker,"PG,SG,SF",UTA,60,22.3,0.426 (3.9/9.1),0.766 (1.8/2.3),0.8,10.4,3.2,3.2,0.8,0.5,1.6,-3.41
244,,Josh Okogie,"SG,SF",PHO,70,24.4,0.395 (2.7/6.8),0.717 (2.3/3.2),1.1,8.8,4.2,1.7,1.1,0.6,1.1,-3.49
245,,Haywood Highsmith,"SF,PF",MIA,69,22.4,0.511 (3.1/6.1),0.508 (0.3/0.7),1.3,7.9,3.7,1,0.7,0.4,0.9,-3.53
246,,Kenrich Williams,"SF,PF",OKC,50,22.2,0.490 (3.2/6.5),0.495 (0.5/0.9),0.9,7.8,4.7,2.1,0.9,0.2,0.8,-3.61
247,,Keita Bates-Diop,"SF,PF",PHO,69,20.4,0.510 (3.2/6.2),0.779 (1.4/1.8),0.6,8.4,4.1,1.2,0.6,0.3,0.9,-3.62
248,,Jaden Hardy,"PG,SG",DAL,69,19.2,0.443 (4.0/9.0),0.824 (1.8/2.2),1.7,11.5,2.4,1.8,0.5,0.2,1.3,-3.65
249,,Dominick Barlow,SF,SA,60,17.4,0.535 (2.3/4.3),0.726 (0.9/1.2),0.1,5.6,4.1,1.2,0.5,0.9,0.8,-3.65
250,,Dyson Daniels,"PG,SG",NO,69,24.7,0.428 (2.5/5.8),0.638 (0.6/0.9),0.6,6.2,4.4,3.1,1,0.3,1.3,-3.73
251,,Sam Hauser,"SF,PF",BOS,76,18.7,0.455 (2.7/5.8),0.727 (0.2/0.2),2.1,7.5,3,1.1,0.4,0.3,0.4,-3.74
252,138.5,Christian Wood,"PF,C",LAL,69,17.2,0.508 (3.5/7.0),0.690 (1.8/2.6),1,9.8,5,1.2,0.4,0.6,1.1,-3.78
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
253,,Taylor Hendricks,PF,UTA,72,22,0.456 (3.2/7.0),0.772 (1.6/2.0),0.8,8.8,5.6,1.7,0.4,0.4,1.2,-3.78
254,,Thomas Bryant,C,MIA,60,15.2,0.594 (3.1/5.2),0.768 (1.3/1.7),0.4,7.9,4.5,0.6,0.2,0.5,0.6,-3.8
255,,AJ Griffin,"SG,SF",ATL,72,20.2,0.465 (3.6/7.8),0.897 (0.6/0.7),1.5,9.3,2.2,1.1,0.6,0.2,0.6,-3.81
256,,Anthony Black,"PG,SG",ORL,72,20,0.453 (4.0/8.9),0.717 (1.3/1.9),0.3,9.7,2.8,3.3,1.1,0.3,1.8,-3.82
257,,Aleksej Pokusevski,"PF,C",OKC,50,18,0.416 (2.8/6.6),0.675 (0.5/0.8),0.9,7,4.5,1.8,0.6,0.8,1.3,-3.88
258,,Jaden Springer,"PG,SG",PHI,58,12.1,0.500 (2.4/4.7),0.752 (0.8/1.1),0.3,5.8,2.1,1.1,0.9,0.7,0.5,-3.92
259,,Dario Saric,"PF,C",GS,67,17.8,0.458 (2.8/6.2),0.829 (1.4/1.7),1,8.1,4.6,1.7,0.5,0.2,1.2,-3.93
260,,Jalen McDaniels,"SF,PF",TOR,70,18,0.464 (2.6/5.7),0.809 (1.1/1.4),0.8,7.1,3.3,1.2,0.7,0.4,0.8,-3.95
261,,Cedi Osman,"SF,PF",SA,60,20.4,0.454 (3.7/8.0),0.684 (1.2/1.7),1.8,10.3,3,1.8,0.7,0.2,0.9,-3.95
262,90,Andrew Wiggins,"SF,PF",GS,69,26.5,0.444 (5.0/11.4),0.629 (1.4/2.3),1.3,12.8,3.8,1.8,0.7,0.6,1.2,-3.98
263,,Ricky Rubio,"PG,SG",CLE,38,18.4,0.357 (2.5/7.1),0.838 (1.4/1.7),1,7.5,2.6,4.1,0.9,0.2,1.5,-4
264,140.6,Gradey Dick,SG,TOR,72,21,0.416 (2.7/6.6),0.849 (1.1/1.3),2,8.5,2.2,1.2,0.6,0.1,0.6,-4.1
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
265,,Eugene Omoruyi,"SF,PF",WAS,40,8.6,0.750 (3.0/4.0),0.667 (1.0/1.5),0.3,7.3,2.5,1,0.5,0.3,0.8,-4.12
266,,Matt Ryan,SF,MIN,40,23,0.417 (3.0/7.2),1.000 (0.5/0.5),2.3,8.8,2.2,1.5,0.3,0.2,1.2,-4.17
267,140.4,Marvin Bagley III,"PF,C",DET,46,18.4,0.515 (3.6/7.1),0.750 (1.3/1.7),0.4,8.9,5.2,0.6,0.4,0.4,0.7,-4.17
268,,John Konchar,"SG,SF",MEM,72,18,0.468 (1.8/3.8),0.643 (0.4/0.6),0.7,4.7,4.2,1.4,0.8,0.3,0.4,-4.18
269,,Cason Wallace,SG,OKC,66,18.1,0.436 (3.3/7.5),0.770 (1.0/1.3),0.9,8.4,2,3.1,0.8,0.2,1.3,-4.2
270,136.5,Andre Drummond,C,CHI,70,14,0.584 (2.6/4.4),0.531 (1.0/1.8),0,6.1,7,1,0.8,0.6,1.2,-4.21
271,,Damion Lee,"SG,SF",PHO,69,20.4,0.441 (2.8/6.2),0.888 (1.2/1.3),1.3,8,3.2,1.2,0.5,0.1,0.9,-4.22
272,,Cam Reddish,"SF,PF",LAL,68,18.4,0.422 (2.8/6.7),0.879 (1.5/1.7),1,8.2,1.8,1,0.8,0.3,1,-4.25
273,,MarJon Beauchamp,"SG,SF",MIL,72,23.4,0.425 (3.1/7.3),0.739 (0.9/1.2),1.5,8.7,3.8,1.1,0.7,0.2,1.5,-4.28
274,,Bilal Coulibaly,SF,WAS,70,23,0.430 (3.3/7.7),0.716 (2.0/2.8),0.6,9.2,4.2,1.9,1.1,0.2,1.3,-4.3
275,,P.J. Tucker,SF,LAC,73,24.7,0.466 (2.0/4.2),0.759 (0.4/0.5),0.9,5.2,4.4,1.4,0.6,0.2,0.7,-4.33
276,129.6,Collin Sexton,"PG,SG",UTA,62,20,0.492 (3.9/8.0),0.805 (2.5/3.1),0.8,11.1,1.8,2.1,0.5,0.1,1.5,-4.4
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
277,137.2,Seth Curry,"PG,SG",DAL,60,17.1,0.478 (3.0/6.2),0.896 (0.7/0.8),1.3,7.9,1.6,1.7,0.5,0.1,0.8,-4.47
278,,Nickeil Alexander-Walker,"SG,SF",MIN,67,21.2,0.394 (3.5/8.9),0.714 (1.1/1.5),1.5,9.6,2.6,2.4,0.7,0.4,1.4,-4.48
279,,Jett Howard,"SG,SF",ORL,60,16.9,0.418 (2.6/6.1),0.846 (1.0/1.2),1.9,8,2.1,1.1,0.6,0.1,0.5,-4.5
280,,Jaylin Williams,"PF,C",OKC,70,18.7,0.437 (2.1/4.8),0.696 (0.8/1.1),1,6,5,1.6,0.6,0.3,0.8,-4.51
281,,Chuma Okeke,"SF,PF",ORL,50,16.2,0.372 (1.9/5.0),0.823 (0.5/0.6),1,5.3,3.2,1.1,0.8,0.4,0.5,-4.56
282,,Cameron Payne,PG,SA,68,16.5,0.411 (3.2/7.7),0.807 (0.9/1.1),1,8.3,2.1,3.7,0.5,0.2,1.4,-4.6
283,,Naji Marshall,"SG,SF",NO,72,20,0.424 (2.9/6.7),0.794 (1.7/2.1),0.7,8.1,3.4,2,0.7,0.2,1.1,-4.63
284,,Malaki Branham,"PG,SG,SF",SA,70,25,0.427 (4.2/9.9),0.835 (0.9/1.1),1.2,10.5,2.8,2,0.5,0.1,1.2,-4.67
285,,Davis Bertans,"PF,C",OKC,40,12.9,0.500 (1.0/2.0),1.000 (3.0/3.0),1,6,1,0,0,0,0,-4.68
286,,Ryan Rollins,PG,WAS,40,8.1,0.357 (1.0/2.8),0.789 (3.0/3.8),0.3,5.3,1.3,1.8,1,0.5,0.5,-4.71
287,146.6,Monte Morris,PG,DET,68,16.3,0.482 (2.6/5.4),0.853 (0.6/0.7),0.9,6.6,1.8,2.8,0.4,0.1,0.6,-4.72
288,140.8,Kenyon Martin Jr.,SF,PHI,62,18.1,0.554 (3.3/6.0),0.663 (1.1/1.7),0.6,8.3,3.6,1.1,0.4,0.3,0.7,-4.76
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
289,,Troy Brown Jr.,"SF,PF",MIN,60,20,0.427 (2.1/5.0),0.822 (0.4/0.5),1.1,5.7,3.5,1.1,0.7,0.2,0.5,-4.77
290,,Shake Milton,"PG,SG",MIN,69,18.8,0.457 (2.9/6.3),0.847 (1.1/1.3),0.7,7.5,2.3,2.6,0.4,0.2,1,-4.79
291,,Leonard Miller,SF,MIN,68,16.4,0.474 (2.8/6.0),0.719 (1.2/1.7),0.6,7.5,4.8,1.3,0.4,0.3,0.9,-4.83
292,,Isaiah Livers,"SF,PF",DET,60,19.2,0.425 (2.0/4.6),0.831 (0.5/0.7),1.2,5.7,2.5,0.8,0.5,0.4,0.6,-4.85
293,,Ochai Agbaji,"PG,SG",UTA,68,23,0.427 (3.2/7.4),0.812 (1.1/1.3),1.6,9,2.3,1.3,0.3,0.3,0.8,-4.87
294,,Georges Niang,PF,CLE,73,18.4,0.440 (2.7/6.1),0.867 (0.5/0.6),1.8,7.7,2.2,1,0.3,0.2,0.7,-4.88
295,,Isaac Okoro,"SG,SF",CLE,70,21,0.487 (2.2/4.6),0.762 (1.2/1.5),0.7,6.3,2.3,1.2,0.7,0.3,0.6,-4.89
296,,Orlando Robinson,C,MIA,65,16.8,0.530 (1.9/3.6),0.710 (0.9/1.2),0,4.6,5,1,0.5,0.5,0.6,-4.92
297,,Trey Lyles,"PF,C",SAC,74,14.8,0.463 (2.4/5.2),0.807 (1.6/2.0),0.8,7.2,3.7,0.8,0.3,0.3,0.7,-4.92
298,,Aaron Nesmith,"SF,PF",IND,47,17.7,0.420 (2.4/5.8),0.833 (1.1/1.3),1.1,7,2.7,0.9,0.6,0.3,0.8,-4.92
299,,JT Thor,PF,CHA,40,17.8,0.450 (1.8/4.0),0.000 (0.0/0.0),0.7,4.3,3.3,0.8,0.7,0.3,0.3,-4.93
300,,T.J. McConnell,PG,IND,58,12.1,0.526 (2.2/4.1),0.843 (0.4/0.5),0.2,4.9,1.8,3,0.6,0.1,1,-4.95
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
