R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
35,46.7,DeMar DeRozan,"SG,SF",CHI,74,35.8,0.504 (9.1/18.0),0.870 (6.0/6.9),0.6,24.7,4.6,4.9,1,0.4,2.1,5.09
36,40.3,Darius Garland,PG,CLE,69,35.6,0.462 (7.8/17.0),0.877 (3.6/4.1),2.5,21.8,3,7.8,1.2,0.1,3,4.99
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37,29,Fred VanVleet,PG,HOU,67,34.2,0.400 (6.1/15.3),0.888 (3.1/3.5),3.1,18.4,3.9,6.4,1.6,0.5,2.1,4.8
38,24.8,LeBron James,"SF,PF",LAL,56,32,0.502 (9.5/19.0),0.761 (3.9/5.2),2.2,25.1,7.1,5.6,0.8,0.5,2.9,4.46
39,37.5,Jalen Brunson,PG,NY,72,34.9,0.492 (9.0/18.3),0.832 (4.2/5.0),2,24.2,3.7,6.5,1,0.2,2.2,4.31
40,50.3,Zach LaVine,"SG,SF",CHI,74,35.6,0.481 (8.7/18.2),0.850 (4.8/5.7),2.6,24.9,4.4,4.3,0.8,0.3,2.6,4.28
41,33.6,Dejounte Murray,"PG,SG",ATL,74,34.8,0.476 (8.8/18.5),0.820 (2.0/2.5),1.6,21.2,5.9,6.1,1.4,0.3,2.1,4.25
42,35.1,Cade Cunningham,"PG,SG",DET,65,33.8,0.428 (8.5/19.8),0.838 (3.2/3.8),1.8,22,5.4,7.6,1.3,0.7,3.3,4.19
43,68.9,Tyler Herro,"PG,SG",MIA,67,36,0.452 (8.7/19.3),0.895 (3.0/3.3),3.2,23.6,5.7,4.5,0.8,0.2,2.8,3.95
44,41.2,Jamal Murray,"PG,SG",DEN,60,33.3,0.466 (7.8/16.6),0.833 (2.8/3.4),2.7,21.1,4.1,6.3,1,0.3,2.3,3.85
45,50.9,OG Anunoby,"SG,SF",TOR,68,33.9,0.465 (7.3/15.7),0.809 (2.0/2.5),2.2,18.8,5.1,2.7,1.7,0.7,1.8,3.82
46,37.8,De'Aaron Fox,PG,SAC,70,33.5,0.496 (9.4/18.9),0.774 (4.7/6.1),1.6,25.1,4.2,6.1,1.2,0.4,2.7,3.77
47,49.4,Deandre Ayton,C,POR,69,31.6,0.546 (6.6/12.0),0.796 (2.2/2.8),0.1,15.5,11.1,1.7,1,1,1.8,3.7
48,47.4,Nikola Vucevic,C,CHI,74,33,0.490 (7.2/14.8),0.806 (1.5/1.8),1.5,17.4,11,3.2,0.7,0.7,1.8,3.64
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
49,35.8,Jaylen Brown,"SG,SF",BOS,69,35.6,0.494 (9.4/19.0),0.770 (3.7/4.8),2.4,24.8,6.3,3.4,1.1,0.3,2.7,3.51
50,60.5,Alperen Sengün,C,HOU,74,30.1,0.556 (7.2/13.0),0.697 (3.0/4.3),0.5,18,9,5.5,0.8,1,2.8,3.51
51,93.3,Jalen Duren,C,DET,70,30.2,0.630 (5.7/9.0),0.611 (1.7/2.9),0,13.1,11.8,1.4,0.8,1.7,1.7,3.33
52,52.3,Brandon Ingram,"SG,SF,PF",NO,60,34.2,0.472 (8.3/17.7),0.851 (4.9/5.8),1.3,23,5.5,5.5,0.7,0.4,2.9,3.32
53,60.6,Bradley Beal,"PG,SG",PHO,62,33.6,0.478 (7.6/16.0),0.838 (3.9/4.7),1.6,20.8,4.2,5.7,0.9,0.5,3.1,3.11
